Game Title;Front Page Info (Size/Version);Front Page Info (Genre/Publisher);Detail URL;ROM Format;File Size;Mirror Hoster;Redirect URL;Final Direct Link;Link Status;HTTP Code;Check Detail;Checked At
Baten Kaitos I & II HD Remaster;N/A;N/A;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/;NSP ROM;7.14 GB;1fichier;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/?download=1;https://1fichier.com/?5v7mivj5b1coqyxmx0ck;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Baten Kaitos I & II HD Remaster;N/A;N/A;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/;[UPDATE] NSP ROM V1.0.3;1.44 GB;Mediafire;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/?download=2;https://www.mediafire.com/file/o58ojzaxukz4fjk/Update+-+Baten+Kaitos+I&II+HD+Remaster+[0100F28018CA4800][v196608][JP](switchroms.io).zip/file;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Baten Kaitos I & II HD Remaster;N/A;N/A;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/;[UPDATE] NSP ROM V1.0.3;1.44 GB;1fichier;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/?download=5;https://1fichier.com/?3nos6il72iui0ctbuu0u;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars;N/A;N/A;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/;NSP ROM;6.75 GB;Mediafire;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/?download=0;https://www.mediafire.com/file/9glj0uisjdnxc3h/NSP+-+Suikoden+I+and+II+HD+Remaster+Gate+Rune+and+Dunan+Unification+Wars+[01004BD017080000][v0][US](switchroms.io).zip/file;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars;N/A;N/A;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/;NSP ROM;6.75 GB;1fichier;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/?download=3;https://1fichier.com/?5jqy4853yd8yhio91di9;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars;N/A;N/A;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/;[UPDATE] NSP ROM V1.0.2;360 MB;Mediafire;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/?download=4;https://www.mediafire.com/file/f0ddfwu26v79w6i/Update+-+Suikoden+I+and+II+HD+Remaster+Gate+Rune+and+Dunan+Unification+Wars+[01004BD017080800][v131072][US](switchroms.io).zip/file;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars;N/A;N/A;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/;[UPDATE] NSP ROM V1.0.2;360 MB;1fichier;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/?download=7;https://1fichier.com/?s6i9022oyfdvpoiaz9qw;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Moonleap;N/A;N/A;https://switchroms.io/moonleap/;NSP ROM;50 MB;Mediafire;https://switchroms.io/moonleap/?download=0;https://www.mediafire.com/file/2mauqvss6pbl7pc/NSP+-+Moonleap+[010044501A768000][v0][US](switchroms.io).zip/file;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Moonleap;N/A;N/A;https://switchroms.io/moonleap/;NSP ROM;50 MB;1fichier;https://switchroms.io/moonleap/?download=4;https://1fichier.com/?7izrvdzlisfeiu87j1cp;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Moonleap;N/A;N/A;https://switchroms.io/moonleap/;[UPDATE] NSP ROM V2.0;65 MB;Mediafire;https://switchroms.io/moonleap/?download=5;https://www.mediafire.com/file/yw5j3uw78m77fdw/Update+-+Moonleap+[010044501A768800][v196608](switchroms.io).zip/file;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
