Game Title;Front Page Info (Size/Version);Front Page Info (Genre/Publisher);Detail URL;ROM Format;File Size;Mirror Hoster;Redirect URL;Final Direct Link;Link Status;HTTP Code;Check Detail;Checked At
Baten Kaitos I & II HD Remaster;N/A;N/A;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/;NSP ROM;7.14 GB;Buzzheavier;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/?download=0;https://buzzheavier.com/zlba9jy5bt91;UNKNOWN;403;HTTP 403 (blocked / anti-bot);2026-07-14 18:10:13
Baten Kaitos I & II HD Remaster;N/A;N/A;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/;NSP ROM;7.14 GB;1fichier;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/?download=1;https://1fichier.com/?5v7mivj5b1coqyxmx0ck;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 18:10:13
Baten Kaitos I & II HD Remaster;N/A;N/A;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/;[UPDATE] NSP ROM V1.0.3;1.44 GB;Mediafire;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/?download=2;https://www.mediafire.com/file/o58ojzaxukz4fjk/Update+-+Baten+Kaitos+I&II+HD+Remaster+[0100F28018CA4800][v196608][JP](switchroms.io).zip/file;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 18:10:13
Baten Kaitos I & II HD Remaster;N/A;N/A;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/;[UPDATE] NSP ROM V1.0.3;1.44 GB;Buzzheavier;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/?download=3;https://buzzheavier.com/a1p39jji6cdh;UNKNOWN;403;HTTP 403 (blocked / anti-bot);2026-07-14 18:10:13
Baten Kaitos I & II HD Remaster;N/A;N/A;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/;[UPDATE] NSP ROM V1.0.3;1.44 GB;Qiwi.gg;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/?download=4;https://qiwi.gg/file/4cTz6211-Update-BatenKaitosI;UNKNOWN;403;HTTP 403 (blocked / anti-bot);2026-07-14 18:10:13
Baten Kaitos I & II HD Remaster;N/A;N/A;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/;[UPDATE] NSP ROM V1.0.3;1.44 GB;1fichier;https://switchroms.io/baten-kaitos-i-ii-hd-remaster/?download=5;https://1fichier.com/?3nos6il72iui0ctbuu0u;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 18:10:13
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars;N/A;N/A;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/;NSP ROM;6.75 GB;Mediafire;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/?download=0;https://www.mediafire.com/file/9glj0uisjdnxc3h/NSP+-+Suikoden+I+and+II+HD+Remaster+Gate+Rune+and+Dunan+Unification+Wars+[01004BD017080000][v0][US](switchroms.io).zip/file;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 18:10:13
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars;N/A;N/A;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/;NSP ROM;6.75 GB;Buzzheavier;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/?download=1;https://buzzheavier.com/itgifg54b0px;UNKNOWN;403;HTTP 403 (blocked / anti-bot);2026-07-14 18:10:13
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars;N/A;N/A;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/;NSP ROM;6.75 GB;Qiwi.gg;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/?download=2;https://qiwi.gg/file/8fJw4264-NSP-SuikodenIandIIHDRemasterGateRuneandDunanUnificationWars01004BD017080000v0USswitchrom;UNKNOWN;403;HTTP 403 (blocked / anti-bot);2026-07-14 18:10:13
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars;N/A;N/A;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/;NSP ROM;6.75 GB;1fichier;https://switchroms.io/suikoden-iii-hd-remaster-gate-rune-and-dunan-unification-wars/?download=3;https://1fichier.com/?5jqy4853yd8yhio91di9;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 18:10:13
