Game Title	Source Site	Platform	Category	Front Page Info (Size/Version)	Front Page Info (Genre/Publisher)	Detail URL	ROM Format	File Size	Mirror Hoster	Redirect URL	Final Direct Link
612- The Amazing Spider-Man 2 Bundle (All DLCs + MULTi6) – [DODI Repack]	dodi	Windows PC	windows	N/A	N/A	https://dodi-repacks.site/612-the-amazing-spider-man-2-bundle-all-dlcs-multi6-dodi-repack/	N/A	N/A	Torrent	https://www.up-4ever.net/wl8ajal443oh	https://www.up-4ever.net/wl8ajal443oh
612- The Amazing Spider-Man 2 Bundle (All DLCs + MULTi6) – [DODI Repack]	dodi	Windows PC	windows	N/A	N/A	https://dodi-repacks.site/612-the-amazing-spider-man-2-bundle-all-dlcs-multi6-dodi-repack/	N/A	N/A	Torrent	https://www.file-upload.com/x2a4buzory2p	https://www.file-upload.com/x2a4buzory2p
612- The Amazing Spider-Man 2 Bundle (All DLCs + MULTi6) – [DODI Repack]	dodi	Windows PC	windows	N/A	N/A	https://dodi-repacks.site/612-the-amazing-spider-man-2-bundle-all-dlcs-multi6-dodi-repack/	N/A	N/A	OneDrive	https://oko.sh/Bq6bv	https://oko.sh/Bq6bv
1401- Marvel’s Spider-Man Remastered (v4.630 + DLCs + Bonus Content + MULTi22) (From 38.5 GB) [DODI Repack]	dodi	Windows PC	windows	38.5 GB	N/A	https://dodi-repacks.site/marvels-spider-man-remastered/	N/A	N/A	Torrent	https://www.swiftuploads.com/2WVGrB8kGkx7/file	https://www.swiftuploads.com/2WVGrB8kGkx7/file
1401- Marvel’s Spider-Man Remastered (v4.630 + DLCs + Bonus Content + MULTi22) (From 38.5 GB) [DODI Repack]	dodi	Windows PC	windows	38.5 GB	N/A	https://dodi-repacks.site/marvels-spider-man-remastered/	N/A	N/A	Torrent	https://www.up-4ever.net/b08n4i3ked7d	https://www.up-4ever.net/b08n4i3ked7d
1401- Marvel’s Spider-Man Remastered (v4.630 + DLCs + Bonus Content + MULTi22) (From 38.5 GB) [DODI Repack]	dodi	Windows PC	windows	38.5 GB	N/A	https://dodi-repacks.site/marvels-spider-man-remastered/	N/A	N/A	SwiftUploads	http://go.zovo.ink/0wYap	http://go.zovo.ink/0wYap
1401- Marvel’s Spider-Man Remastered (v4.630 + DLCs + Bonus Content + MULTi22) (From 38.5 GB) [DODI Repack]	dodi	Windows PC	windows	38.5 GB	N/A	https://dodi-repacks.site/marvels-spider-man-remastered/	N/A	N/A	SwiftUploads	http://zovo2.top/E9olFMuN	http://zovo2.top/E9olFMuN
1401- Marvel’s Spider-Man Remastered (v4.630 + DLCs + Bonus Content + MULTi22) (From 38.5 GB) [DODI Repack]	dodi	Windows PC	windows	38.5 GB	N/A	https://dodi-repacks.site/marvels-spider-man-remastered/	N/A	N/A	DataNodes	http://go.zovo.ink/vmrc4TP3	http://go.zovo.ink/vmrc4TP3
1401- Marvel’s Spider-Man Remastered (v4.630 + DLCs + Bonus Content + MULTi22) (From 38.5 GB) [DODI Repack]	dodi	Windows PC	windows	38.5 GB	N/A	https://dodi-repacks.site/marvels-spider-man-remastered/	N/A	N/A	DataNodes	http://zovo2.top/szWg4	http://zovo2.top/szWg4
1401- Marvel’s Spider-Man Remastered (v4.630 + DLCs + Bonus Content + MULTi22) (From 38.5 GB) [DODI Repack]	dodi	Windows PC	windows	38.5 GB	N/A	https://dodi-repacks.site/marvels-spider-man-remastered/	N/A	N/A	elamigos Update v4.630	http://go.zovo.ink/TKltmTo	http://go.zovo.ink/TKltmTo
